movieId,title,genres,average_rating
31,Dangerous Minds (1995),Drama,3.235021132012928
53,Lamerica (1994),Adventure|Drama,3.677710843373494
65,Bio-Dome (1996),Comedy,2.3978181212524983
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.1681887366818873
85,Angels and Insects (1995),Drama|Romance,3.5387447405329593
133,Nueba Yol (1995),Comedy|Drama,2.5
137,Man of the Year (1995),Documentary,3.3016528925619837
148,"Awfully Big Adventure, An (1995)",Drama,2.9
243,Gordy (1995),Children|Comedy|Fantasy,2.5
251,"Hunted, The (1995)",Action,3.0322966507177034
255,"Jerky Boys, The (1995)",Comedy,2.27488986784141
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,4.191777924896098
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,3.7581632653061225
322,Swimming with Sharks (1995),Comedy|Drama,3.6721617418351475
362,"Jungle Book, The (1994)",Adventure|Children|Romance,3.3591265519494664
375,Safe Passage (1994),Drama,3.2786259541984735
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation,3.31438127090301
451,Flesh and Bone (1993),Drama|Mystery|Romance,3.048798798798799
458,Geronimo: An American Legend (1993),Drama|Western,3.14503133393017
463,Guilty as Sin (1993),Crime|Drama|Thriller,2.8161434977578477
471,"Hudsucker Proxy, The (1994)",Comedy,3.651588858375834
472,I'll Do Anything (1994),Comedy|Drama,2.8746666666666667
481,Kalifornia (1993),Drama|Thriller,3.3362724478239767
496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller,3.3140877598152425
513,Radioland Murders (1994),Comedy|Mystery|Romance,2.9565916398713825
516,Renaissance Man (1994),Comedy|Drama,3.0853457738748626
540,Sliver (1993),Thriller,2.721814175541682
580,Princess Caraboo (1994),Drama,3.0453795379537953
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,3.70176193292825
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,4.150286831299974
597,Pretty Woman (1990),Comedy|Romance,3.439492086860508
613,Jane Eyre (1996),Drama|Romance,3.635572987721692
623,"Modern Affair, A (1995)",Romance,3.260869565217391
633,Denise Calls Up (1995),Comedy,3.3874643874643873
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,2.7898093636108774
737,Barb Wire (1996),Action|Sci-Fi,2.1092708741669934
799,"Frighteners, The (1996)",Comedy|Horror|Thriller,3.358809168588092
804,She's the One (1996),Comedy|Romance,3.0812108559498954
808,Alaska (1996),Adventure|Children,3.2204545454545452
833,High School High (1996),Comedy,2.7125935162094765
853,Dingo (1991),Drama,3.3140495867768593
857,Crows and Sparrows (Wuya yu maque) (1949),Drama,3.33
858,"Godfather, The (1972)",Crime|Drama,4.32660258119567
876,Supercop 2 (Project S) (Chao ji ji hua) (1993),Action|Comedy|Crime|Thriller,2.7252906976744184
879,"Relic, The (1997)",Horror|Thriller,2.8092845659163985
897,For Whom the Bell Tolls (1943),Adventure|Drama|Romance|War,3.6363636363636362
898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,4.101242161119151
918,Meet Me in St. Louis (1944),Musical,3.7251013970256874
961,Little Lord Fauntleroy (1936),Drama,3.402482269503546
970,Beat the Devil (1953),Adventure|Comedy|Crime|Drama|Romance,3.4966517857142856
974,Algiers (1938),Drama|Romance,3.3734177215189876
